3285794	910
1765579	780
2677089	700
2924535	680
5872479	620
1898044	620
1813632	600
2001765	500
12060840	460
4226216	460
2205623	450
3804979	420
2749287	420
1891984	420
2533402	420
3025080	420
3883502	420
1707758	380
2069387	380
1623572	380
1635131	380
2026569	350
3012818	340
1750142	340
6535193	310
10204941	300
2034059	300
6438361	285
6913825	285
2210524	285
3680108	285
8977731	285
2264280	285
1639558	285
2087165	270
2203024	270
2392287	270
1990897	270
2161815	270
14383634	265
2129258	255
2196074	255
1960765	255
1916256	255
2314929	240
1814150	240
1732160	240
1965855	240
2008594	240
6217629	225
9108057	225
1955107	225
3510463	225
2513085	225
5954515	210
3159693	210
2501363	210
2065452	210
5308588	210
5428234	195
1916628	195
5961595	195
2323506	195
1431351	195
2100781	180
2213904	180
2180651	180
2586911	180
2027312	180
1965899	180
1747033	180
1674615	165
1836346	165
3722888	165
1966800	165
2330373	165
7395374	165
3124178	165
2046334	165
2015049	165
2464696	165
2665266	165
2462353	165
2589388	165
1965402	150
2244460	150
2079435	150
1838489	150
3790321	150
1901640	150
1317633	135
2330037	135
2227433	135
1619018	135
4943602	120
1992245	120
2306906	120
2002797	120
3525801	105
2230707	105
1968431	105
3815337	105
3010249	90
3371340	90
2463537	90
2010923	90
3285474	90
2357851	90
1992057	90
2072031	90
1818623	90
2504944	75
1969421	75
1395122	75
5678399	75
2269359	75
2473803	75
1804843	75
2460936	75
1810999	60
1918318	60
11340019	60
4051920	60
2757776	60
1808561	60
1772364	45
2182615	45
1830184	45
1871611	30
2304109	30
3419915	30
